# TYPE ceph gauge
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.d",type="used"} 154550707234 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.c",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.1",type="used"} 492503040 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.e",type="used"} 153325687608 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.f",type="used"} 22 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.0",type="used"} 470679552 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.f",type="used"} 154757969668 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.e",type="used"} 4194304 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.f",type="used"} 535298048 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.1",type="used"} 4194304 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.0",type="used"} 153047908185 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.e",type="used"} 567820288 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.0",type="used"} 12582912 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.1",type="used"} 154479787633 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.d",type="used"} 514437120 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.3",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.2",type="used"} 155019715754 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.c",type="used"} 481124352 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.3",type="used"} 154396204892 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.2",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.b",type="used"} 471662592 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.4",type="used"} 152776702483 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.5",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.a",type="used"} 558387200 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.5",type="used"} 153787402435 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.4",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.9",type="used"} 554033152 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.6",type="used"} 153509015534 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.7",type="used"} 4194304 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.8",type="used"} 439156736 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.7",type="used"} 154395663101 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.6",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.37",type="used"} 501633024 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.38",type="used"} 152536324136 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.39",type="used"} 8388608 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.36",type="used"} 510189568 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.39",type="used"} 153702808555 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.38",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.35",type="used"} 458952704 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.3a",type="used"} 155167962783 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.3b",type="used"} 12582912 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.34",type="used"} 419934208 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.3b",type="used"} 154315896042 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.3a",type="used"} 4194304 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.33",type="used"} 477048832 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.3c",type="used"} 152864249836 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.3d",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.32",type="used"} 503804016 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.3d",type="used"} 154249881933 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.3c",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.31",type="used"} 470896640 1450641689458
